Player Filename,Firstname,Surname,PlayerWiki Filename
USWNT/yael-averbuch.html,Yael,Averbuch,PlayerWiki/Yael_Averbuch.html
USWNT/lindsay-tarpley.html,Lindsay,Tarpley,PlayerWiki/Lindsay_Tarpley.html
USWNT/carli-lloyd.html,Carli,Lloyd,PlayerWiki/Carli_Lloyd.html
USWNT/kendall-fletcher.html,Kendall,Fletcher,PlayerWiki/Kendall_Fletcher.html
USWNT/megan-rapinoe.html,Megan,Rapinoe,PlayerWiki/Megan_Rapinoe.html
USWNT/heather-oreilly.html,Heather,O'Reilly,PlayerWiki/Heather_O'Reilly.html
USWNT/amy-lepeilbet.html,Amy,LePeilbet,PlayerWiki/Amy_LePeilbet.html
USWNT/kacey-white.html,Kacey,White,PlayerWiki/Kacey_White.html
USWNT/angie-woznuk.html,Angie,Woznuk,PlayerWiki/Angie_Woznuk.html
USWNT/tina-dimartino.html,Tina,DiMartino,PlayerWiki/Tina_DiMartino.html
USWNT/heather-mitts.html,Heather,Mitts,PlayerWiki/Heather_Mitts.html
USWNT/christie-rampone.html,Christie,Rampone,PlayerWiki/Christie_Rampone.html
USWNT/amy-rodriguez.html,Amy,Rodriguez,PlayerWiki/Amy_Rodriguez.html
USWNT/cat-whitehill.html,Cat,Whitehill,PlayerWiki/Cat_Whitehill.html
USWNT/hope-solo.html,Hope,Solo,PlayerWiki/Hope_Solo.html
USWNT/christine-nairn.html,Christine,Nairn,PlayerWiki/Christine_Nairn.html
USWNT/tobin-heath.html,Tobin,Heath,PlayerWiki/Tobin_Heath.html
USWNT/natasha-kai.html,Natasha,Kai,PlayerWiki/Natasha_Kai.html
USWNT/angela-hucles.html,Angela,Hucles,PlayerWiki/Angela_Hucles.html
USWNT/abby-wambach.html,Abby,Wambach,PlayerWiki/Abby_Wambach.html
USWNT/lauren-holiday.html,Lauren,Holiday,PlayerWiki/Lauren_Holiday.html
USWNT/rachel-buehler.html,Rachel,Van Hollebeke,PlayerWiki/Rachel_Van Hollebeke.html
USWNT/ella-masar.html,Ella,Masar,PlayerWiki/Ella_Masar.html
USWNT/shannon-boxx.html,Shannon,Boxx,PlayerWiki/Shannon_Boxx.html
USWNT/marian-dalmy.html,Marian,Dalmy,PlayerWiki/Marian_Dalmy.html
USWNT/stephanie-cox.html,Stephanie,Cox,PlayerWiki/Stephanie_Cox.html
USWNT/lori-chalupny.html,Lori,Chalupny,PlayerWiki/Lori_Chalupny.html
USWNT/nicole-barnhart.html,Nicole,Barnhart,PlayerWiki/Nicole_Barnhart.html
USWNT/leslie-osborne.html,Leslie,Osborne,PlayerWiki/Leslie_Osborne.html
